Dari,Ke
Aceh Barat,Badung
Kepulauan Talaud,Kayong Utara
Kepulauan Talaud,Ketapang
Aceh Barat,Denpasar
Subulussalam,Temanggung
Subulussalam,Pegunungan Bintang
Subulussalam,Bitung
Aceh Barat,Klungkung
Aceh Barat,Tabanan
Bitung,Subulussalam
Bitung,Nagan Raya
Temanggung,Aceh Tengah
Temanggung,Subulussalam
Temanggung,Aceh Tenggara
Tanah Bumbu,Aceh Tengah
Tanah Bumbu,Denpasar
